39666	Утверждён перечень видов культурной деятельности музеев, театров, библиотек для применения нулевой ставки по налогу на прибыль	
39665	Утверждены меры поддержки для системообразующих организаций	
39664	Подписано распоряжение о выделении бюджетных ассигнований на проведение научно-практических обучающих семинаров по охране здоровья матерей и детей	
39663	Правительство выделило более 81,1 млрд рублей на помощь малым и средним предприятиям из пострадавших отраслей	
39662	Утверждено распределение межбюджетных трансфертов, предоставляемых в 2020 году бюджетам регионов на доплаты медикам, помогающим больным с коронавирусом	
39661	Правительство расширило возможности регионов по использованию средств, выделенных на борьбу с коронавирусом	
39628	Принято решение об освобождении регионов в 2020 году от платежей по бюджетным кредитам	
39631	Утверждены правила распределения грантов некоммерческим организациям на проведение мероприятий по содействию патриотическому воспитанию	
39627	Утверждены правила предоставления субсидий из федерального бюджета на возмещение банкам и госкорпорации развития «ВЭБ.РФ» недополученных доходов по льготным кредитам, выданным региональным операторам по обращению с ТКО	
39626	Утверждены правила возмещения кредитным организациям недополученных доходов по кредитам на реализацию проектов в сфере строительства жилья	
39622	Авансы по госконтрактам подняли до 50%	
39625	Утверждены изменения, касающиеся расчётов на оптовом и розничном рынках электрической энергии и мощности	
39624	Внесены изменения во Временные правила регистрации граждан в целях поиска работы и в качестве безработных	
39623	Изменена методика расчёта субвенций регионам на жильё для инвалидов, ветеранов и семей с детьми-инвалидами	
39617	Подписано постановление о наделении Роспотребнадзора полномочиями по установлению требований к организации питания и качеству пищевых продуктов	
39621	Утверждено постановление об ограничении допуска отдельных видов товаров, происходящих из иностранных государств, для целей госзакупок	
39620	Подписано постановление об унификации запретов на доступ промышленных товаров из иностранных государств к госзакупкам, в том числе, для нужд обороны страны и безопасности государства	
39619	Внесены изменения в приложение к Правилам о признании лица инвалидом	
39618	Внесены изменения в Положение об оказании социальной поддержки российским гражданам, находящимся за границей и не имеющим возможности вернуться в Россию из-за ситуации с коронавирусом	
39616	Подписано постановление о требованиях к организации добровольческой (волонтёрской) деятельности	
39615	Михаил Мишустин подписал распоряжение о выделении 500 млн рублей на дополнительные выплаты россиянам за границей	
39606	Внесены изменения в постановления Правительства о перечне доходов, учитываемых при оказании гражданам государственной социальной помощи, предоставления субсидий и назначения выплаты на ребёнка в возрасте от 3 до 7 лет	
39605	Внесены изменения во временный порядок въезда в Российскую Федерацию иностранных граждан	
39602	Правительство утвердило отсрочку по установке системы ГЛОНАСС на транспорт	
39603	Утверждены временные правила работы вахтовым методом в период борьбы с распространением новой коронавирусной инфекции	
39601	Утверждены льготы по аренде федерального имущества для кинотеатров и стоматологических клиник	
39597	Подписано постановление о Дне работника скорой медицинской помощи	
39589	Подписано постановление о сокращении сроков подачи сведений в ПФР	
39588	Расширен перечень лекарственных препаратов, предназначенных для больных тяжёлыми заболеваниями	
39587	Утверждены изменения в правила списания заказчиком сумм неустоек в рамках госзакупок	
39586	Подписано постановление о правилах предоставления госгарантий по кредитам или облигационным займам, привлекаемым юрлицами на решение неотложных задач по обеспечению устойчивости экономического развития	
39582	Утверждены правила предоставления субсидий предприятиям малого и среднего бизнеса из перечня отраслей экономики, в наибольшей степени пострадавших в условиях ухудшения ситуации в результате распространения коронавирусной инфекции	
39579	Внесены изменения в распределение субсидий регионам на реализацию федерального проекта «Чистая страна»	
39580	Продлены сроки действия и подачи сертификатов на приобретение или строительство жилья для молодых семей в связи с пандемией новой коронавирусной инфекции	
39578	Утверждены правила предоставления субсидий туроператорам на возмещение затрат в связи с пандемией новой коронавирусной инфекции	
39577	Подписано распоряжение  о выделении 6 млрд рублей субсидий банкам для выплаты ипотеки под 6,5%	
39574	Михаил Мишустин расширил программу выдачи беспроцентных кредитов на выплату зарплаты	
39573	Утверждены выделение 24 млрд рублей субсидий банкам для выдачи льготных кредитов системообразующим предприятиям на пополнение оборотных средств и правила распределения субсидий	
39572	Внесены изменения в перечни перепрофилируемых медорганизаций для борьбы с COVID-19 на территории Москвы и обозначены меры, которые необходимо принять правительству Москвы и федеральным органам исполнительной власти для обеспечения работы указанных в перечне организаций	
39571	Михаил Мишустин утвердил список перепрофилируемых медорганизаций для борьбы с COVID-19 в регионах	
39570	Правительство внесло в Госдуму законопроект о запрете банкам блокировать счета без объяснения причин	
39567	На реализацию планов социального развития центров экономического роста регионов Дальнего Востока выделено дополнительное финансирование из федерального бюджета	
39566	Михаил Мишустин утвердил дополнительную отсрочку по страховым взносам для МСП	
39564	6 млрд рублей выделено из резервного фонда Правительства на возмещение кредитным организациям недополученных доходов по ипотечным кредитам, выданным гражданам под 6,5% годовых	
39559	Внесены изменения в распоряжение о выделении средств на закупку теплотелевизионных регистраторов, бесконтактных термометров и установок обеззараживания воздуха	
39558	Михаил Мишустин утвердил программу льготной ипотеки под 6,5%	
39536	Упрощён беспошлинный ввоз медицинских товаров для борьбы с COVID-19	
39534	Дополнен рекомендуемый перечень непродовольственных товаров первой необходимости	
39531	Внесены изменения в правила предоставления межбюджетных трансфертов на восстановление автодорог регионального, межмуниципального и местного значения при ликвидации последствий чрезвычайных ситуаций	
39529	1,3 млрд рублей выделено бюджету Иркутской области на обеспечение жильём граждан, утративших жилые помещения в результате наводнения в 2019 году	
39528	Расширен перечень отраслей российской экономики, в наибольшей степени пострадавших в результате распространения новой коронавирусной инфекции	
39525	Внесены изменения в распоряжение о выделении регионам 33,4 млрд рублей из резервного фонда Правительства на оснащение медицинских организаций для помощи больным с коронавирусной инфекцией	
39524	Более 3,5 млрд рублей выделено из резервного фонда Правительства на оснащение коечного фонда медицинских организаций, подведомственных федеральным органам исполнительной власти, а также приобретение средств индивидуальной защиты и обеспечение системой снабжения кислородом для оказания помощи больным коронавирусной инфекцией	
39523	Более 32,4 млрд рублей выделено из резервного фонда Правительства регионам на оснащение коечного фонда медицинских организаций, обеспечение системой снабжения кислородом и средствами индивидуальной защиты для оказания медицинской помощи больным коронавирусной инфекцией	
39518	Подписано постановление о максимальных выплатах безработным	
39514	Утверждён временный порядок установления степени утраты профессиональной трудоспособности в результате несчастных случаев на производстве	
39490	Установлен временный порядок распределения тест-систем для диагностики новой коронавирусной инфекции	
39485	Более 45 млрд рублей выделены регионам из резервного фонда Правительства на стимулирующие выплаты медицинским работникам, оказывающим помощь гражданам, у которых выявлена новая коронавирусная инфекция	
39484	Утверждены правила предоставления межбюджетных трансфертов субъектам Российской Федерации на софинансирование в полном объёме стимулирующих выплат медицинским работникам, оказывающим помощь гражданам, у которых выявлена новая коронавирусная инфекция	
39486	Около 640 млн рублей выделены из резервного фонда Правительства России на перепрофилирование коечного фонда медицинских организаций, расположенных в закрытых административно-территориальных образованиях	
